Fecha,Hora,period eating,period other,period resting,period rumination,period eating_count,period other_count,period resting_count,period rumination_count
2024-01-09,2,0.0,0.0,0.59,0.41,0.0,0.0,1.0,2.0
2024-01-09,3,0.0,0.0,0.393,0.607,0.0,0.0,2.0,3.0
2024-01-09,4,0.0,0.043,0.275,0.682,0.0,1.0,1.0,1.0
2024-01-09,5,0.0,0.036,0.551,0.413,0.0,1.0,2.0,2.0
2024-01-09,6,0.43,0.039,0.472,0.059,2.0,1.0,1.0,1.0
2024-01-09,7,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
2024-01-09,8,0.616,0.0,0.384,0.0,2.0,0.0,2.0,0.0
2024-01-09,9,0.157,0.007,0.325,0.511,1.0,1.0,2.0,1.0
2024-01-09,10,0.259,0.033,0.354,0.354,2.0,1.0,1.0,1.0
2024-01-09,11,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
2024-01-09,12,0.669,0.0,0.236,0.095,2.0,0.0,2.0,1.0
2024-01-09,13,0.151,0.0,0.511,0.338,1.0,0.0,1.0,1.0
2024-01-09,14,0.518,0.079,0.128,0.275,4.0,1.0,2.0,1.0
2024-01-09,15,0.0,0.0,0.37,0.63,0.0,0.0,2.0,1.0
2024-01-09,16,0.866,0.0,0.092,0.043,1.0,0.0,1.0,1.0
2024-01-09,17,0.846,0.0,0.0,0.154,1.0,0.0,0.0,1.0
2024-01-09,18,0.846,0.0,0.115,0.039,1.0,0.0,2.0,1.0
2024-01-09,19,0.0,0.0,0.252,0.748,0.0,0.0,2.0,1.0
2024-01-09,20,0.0,0.0,0.685,0.315,0.0,0.0,2.0,1.0
2024-01-09,21,0.282,0.0,0.246,0.472,1.0,0.0,1.0,1.0
2024-01-09,22,0.938,0.0,0.0,0.062,1.0,0.0,0.0,1.0
2024-01-09,23,0.0,0.0,0.354,0.646,0.0,0.0,2.0,1.0
2024-01-10,0,0.0,0.0,0.567,0.433,0.0,0.0,2.0,1.0
2024-01-10,1,0.0,0.0,0.849,0.151,0.0,0.0,1.0,1.0
2024-01-10,2,0.0,0.0,0.63,0.37,0.0,0.0,1.0,2.0
2024-01-10,3,0.0,0.0,0.354,0.646,0.0,0.0,1.0,2.0
2024-01-10,4,0.079,0.0,0.869,0.052,1.0,0.0,2.0,1.0
2024-01-10,5,0.61,0.0,0.39,0.0,2.0,0.0,2.0,0.0
2024-01-10,6,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
2024-01-10,7,0.79,0.0,0.039,0.17,1.0,0.0,1.0,2.0
2024-01-10,8,0.275,0.0,0.148,0.577,1.0,0.0,2.0,1.0
2024-01-10,9,0.0,0.0,0.679,0.321,0.0,0.0,1.0,1.0
2024-01-10,10,0.574,0.0,0.236,0.19,1.0,0.0,1.0,1.0
2024-01-10,11,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
2024-01-10,12,0.984,0.0,0.0,0.016,1.0,0.0,0.0,1.0
