Fecha,Hora,period eating,period other,period resting,period rumination,period eating_count,period other_count,period resting_count,period rumination_count,activity_level,activity_level_2,Nivel_estres_1,Nivel_estres_2
2024-07-08,17,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.3653372555482468,0.0999394960855695,normal,normal
2024-07-08,18,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.3653372555482468,0.0999394960855695,normal,normal
2024-07-08,19,0.908,0.0,0.0,0.092,1.0,0.0,0.0,1.0,0.3421339396089531,-0.1220231703362225,normal,normal
2024-07-08,20,0.0,0.0,0.03,0.97,0.0,0.0,1.0,1.0,0.0918933429193284,-0.3387940316589002,normal,normal
2024-07-08,21,0.0,0.0,0.325,0.675,0.0,0.0,1.0,1.0,-0.1169072319564677,-0.3387940316589002,normal,normal
2024-07-08,22,0.0,0.0,0.63,0.37,0.0,0.0,1.0,2.0,-0.332785792421274,-0.5607566980806922,normal,normal
2024-07-08,23,0.511,0.0,0.0,0.489,2.0,0.0,0.0,1.0,0.2420065871317834,-0.0220836742506529,normal,normal
2024-07-10,0,0.0,0.0,0.236,0.764,0.0,0.0,1.0,2.0,-0.0539131602142783,-0.5607566980806922,normal,normal
2024-07-10,1,0.0,0.0,0.19,0.81,0.0,0.0,1.0,1.0,-0.0213544265048321,-0.3387940316589002,normal,normal
2024-07-10,2,0.0,0.0,0.282,0.718,0.0,0.0,1.0,2.0,-0.0864718939237245,-0.5607566980806922,normal,normal
2024-07-10,3,0.0,0.0,0.63,0.37,0.0,0.0,1.0,2.0,-0.332785792421274,-0.5607566980806922,normal,normal
2024-07-10,4,0.121,0.0,0.315,0.564,3.0,0.0,2.0,1.0,-0.0793118417081692,-0.1558069086392998,normal,normal
2024-07-10,5,0.075,0.0,0.708,0.216,1.0,0.0,1.0,1.0,-0.369191460625597,-0.2388545355733307,normal,normal
2024-07-10,6,0.154,0.0,0.275,0.57,1.0,0.0,1.0,1.0,-0.0427900981083731,-0.2388545355733307,normal,normal
2024-07-10,7,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.3653372555482468,0.0999394960855695,normal,normal
2024-07-10,8,0.695,0.0,0.305,0.0,1.0,0.0,1.0,0.0,0.0725346585455646,-0.0168918691515386,normal,normal
2024-07-10,9,0.315,0.007,0.128,0.551,1.0,1.0,2.0,1.0,0.1013653974685537,1.3234747208826367,normal,normal
2024-07-10,10,0.062,0.111,0.826,0.0,1.0,1.0,1.0,0.0,-0.4674543426145453,1.662268752541537,normal,normal
2024-07-10,11,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.3653372555482468,0.0999394960855695,normal,normal
2024-07-10,12,0.41,0.0,0.157,0.433,2.0,0.0,2.0,1.0,0.1054090078422751,-0.2557464047248693,normal,normal
2024-07-10,13,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.3653372555482468,0.0999394960855695,normal,normal
2024-07-10,14,0.361,0.0,0.393,0.246,2.0,0.0,3.0,2.0,-0.0739897398955943,-0.5945404363837696,normal,normal
2024-07-10,15,0.0,0.0,0.079,0.921,0.0,0.0,1.0,2.0,0.0572112135331792,-0.5607566980806922,normal,normal
2024-07-10,16,0.79,0.0,0.079,0.131,1.0,0.0,1.0,1.0,0.2564570786640709,-0.2388545355733307,normal,normal
2024-07-10,17,0.607,0.0,0.393,0.0,2.0,0.0,1.0,0.0,-0.0119460907535698,0.0830476269340308,normal,normal
