Fecha,Hora,period eating,period other,period resting,period rumination,period eating_count,period other_count,period resting_count,period rumination_count,nivel_actividad
2024-01-10,12,0.803,0.0,0.079,0.118,2.0,0.0,1.0,1.0,0.17282137377413206
2024-01-10,13,0.18,0.0,0.111,0.708,2.0,0.0,1.0,1.0,0.07453192800684291
2024-01-10,14,0.0,0.0,0.557,0.443,0.0,0.0,1.0,1.0,-0.27183570732309914
2024-01-10,15,0.0,0.0,0.472,0.528,0.0,0.0,1.0,2.0,-0.20991974808982122
2024-01-10,16,0.826,0.082,0.0,0.092,1.0,1.0,0.0,1.0,0.2429073773284421
2024-01-10,17,0.039,0.961,0.0,0.0,1.0,2.0,0.0,0.0,0.25316775882238274
2024-01-10,18,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.2531326046858848
2024-01-10,19,0.0,0.318,0.157,0.525,0.0,2.0,2.0,1.0,0.057450774697611576
2024-01-10,20,0.0,0.0,0.708,0.292,0.0,0.0,1.0,2.0,-0.3818275878433927
2024-01-10,21,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.1338959314173218
2024-01-10,22,0.866,0.0,0.0,0.134,1.0,0.0,0.0,2.0,0.2379354925757758
2024-01-10,23,0.0,0.0,0.275,0.725,0.0,0.0,1.0,2.0,-0.06642040727857722
2024-01-11,0,0.0,0.0,0.472,0.528,0.0,0.0,1.0,1.0,-0.20991974808982122
2024-01-11,1,0.0,0.0,0.511,0.489,0.0,0.0,1.0,2.0,-0.23832824703214872
2024-01-11,2,0.0,0.0,0.954,0.046,0.0,0.0,1.0,1.0,-0.5610196580949969
2024-01-11,3,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,-0.5945271183859473
2024-01-11,4,0.003,0.0,0.918,0.079,1.0,0.0,2.0,2.0,-0.5344360141179276
2024-01-11,5,0.075,0.0,0.767,0.157,1.0,0.0,2.0,1.0,-0.4159280891094107
2024-01-11,6,0.0,0.0,0.059,0.941,0.0,0.0,1.0,1.0,0.09091897147892893
2024-01-11,7,0.643,0.0,0.0,0.357,1.0,0.0,0.0,1.0,0.21114470488716697
2024-01-11,8,0.97,0.03,0.0,0.0,1.0,1.0,0.0,0.0,0.25400695115775784
2024-01-11,9,0.99,0.01,0.0,0.0,1.0,1.0,0.0,0.0,0.25402497892006454
2024-01-11,10,0.072,0.669,0.118,0.141,1.0,1.0,1.0,1.0,0.1363612863768452
2024-01-11,11,0.59,0.0,0.079,0.331,1.0,0.0,1.0,1.0,0.14723196669936223
2024-01-11,12,0.984,0.016,0.0,0.0,1.0,1.0,0.0,0.0,0.25401957059137253
2024-01-11,13,0.23,0.22,0.079,0.472,1.0,1.0,1.0,1.0,0.13034822865166082
2024-01-11,14,0.046,0.0,0.315,0.639,2.0,0.0,2.0,3.0,-0.09003097844704873
2024-01-11,15,0.459,0.039,0.0,0.502,1.0,1.0,0.0,1.0,0.19368953185000407
2024-01-11,16,0.249,0.751,0.0,0.0,1.0,1.0,0.0,0.0,0.2533570503266027
2024-01-11,17,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.2531326046858848
2024-01-11,18,0.0,0.216,0.315,0.469,0.0,3.0,4.0,3.0,-0.06980220784469837
2024-01-11,19,0.0,0.0,0.367,0.633,0.0,0.0,1.0,1.0,-0.13343532786047796
2024-01-11,20,0.0,0.0,0.528,0.472,0.0,0.0,4.0,3.0,-0.25071143887880426
2024-01-11,21,0.0,0.0,0.403,0.597,0.0,0.0,1.0,1.0,-0.15965855765339565
2024-01-11,22,0.495,0.0,0.393,0.111,1.0,0.0,1.0,1.0,-0.09303988270175174
2024-01-11,23,0.685,0.0,0.0,0.315,1.0,0.0,1.0,1.0,0.21619050346529062
2024-01-12,0,0.0,0.0,0.174,0.826,0.0,0.0,1.0,1.0,0.007150320751552988
2024-01-12,1,0.0,0.0,0.259,0.741,0.0,0.0,1.0,1.0,-0.0547656384817249
2024-01-12,2,0.0,0.0,0.915,0.085,0.0,0.0,1.0,1.0,-0.5326111591526694
2024-01-12,3,0.0,0.0,0.03,0.97,0.0,0.0,1.0,1.0,0.11204323992322375
2024-01-12,4,0.0,0.0,0.83,0.17,0.0,0.0,1.0,1.0,-0.4706951999193915
2024-01-12,5,0.039,0.0,0.607,0.354,1.0,0.0,3.0,2.0,-0.3035714754192906
2024-01-12,6,0.0,0.036,0.374,0.59,0.0,1.0,4.0,4.0,-0.13424176897143258
2024-01-12,7,0.957,0.043,0.0,0.0,1.0,1.0,0.0,0.0,0.2539952331122585
