Fecha,Class,Ancho,H.N,H
2024-01-06,period eating,43,1.6918032786885246,0 days 01:41:30.492000
2024-01-06,period other,4,0.15737704918032788,0 days 00:09:26.557000
2024-01-06,period resting,2,0.07868852459016394,0 days 00:04:43.279000
2024-01-06,period other,5,0.19672131147540986,0 days 00:11:48.197000
2024-01-06,period resting,3,0.1180327868852459,0 days 00:07:04.918000
2024-01-06,period rumination,5,0.19672131147540986,0 days 00:11:48.197000
2024-01-06,period resting,1,0.03934426229508197,0 days 00:02:21.639000
2024-01-06,period rumination,2,0.07868852459016394,0 days 00:04:43.279000
2024-01-06,period resting,1,0.03934426229508197,0 days 00:02:21.639000
2024-01-06,period other,2,0.07868852459016394,0 days 00:04:43.279000
2024-01-06,period resting,2,0.07868852459016394,0 days 00:04:43.279000
2024-01-06,period other,4,0.15737704918032788,0 days 00:09:26.557000
2024-01-06,period resting,19,0.7475409836065574,0 days 00:44:51.148000
2024-01-06,period rumination,3,0.1180327868852459,0 days 00:07:04.918000
2024-01-06,period resting,6,0.2360655737704918,0 days 00:14:09.836000
2024-01-06,period rumination,3,0.1180327868852459,0 days 00:07:04.918000
2024-01-06,period eating,19,0.7475409836065574,0 days 00:44:51.148000
2024-01-06,period other,2,0.07868852459016394,0 days 00:04:43.279000
2024-01-06,period eating,41,1.6131147540983608,0 days 01:36:47.213000
2024-01-06,period other,1,0.03934426229508197,0 days 00:02:21.639000
2024-01-06,period eating,24,0.9442622950819672,0 days 00:56:39.344000
2024-01-06,period other,2,0.07868852459016394,0 days 00:04:43.279000
2024-01-06,period eating,2,0.07868852459016394,0 days 00:04:43.279000
2024-01-06,period other,1,0.03934426229508197,0 days 00:02:21.639000
2024-01-06,period eating,1,0.03934426229508197,0 days 00:02:21.639000
2024-01-06,period other,12,0.4721311475409836,0 days 00:28:19.672000
2024-01-06,period resting,2,0.07868852459016394,0 days 00:04:43.279000
2024-01-06,period rumination,30,1.1803278688524592,0 days 01:10:49.180000
2024-01-06,period resting,3,0.1180327868852459,0 days 00:07:04.918000
2024-01-06,period rumination,16,0.6295081967213115,0 days 00:37:46.230000
2024-01-06,period resting,18,0.7081967213114755,0 days 00:42:29.508000
2024-01-06,period rumination,13,0.5114754098360657,0 days 00:30:41.311000
2024-01-06,period eating,22,0.8655737704918034,0 days 00:51:56.066000
